sample.name,injection.order,batch,group,class
Peak area - S14_QCS_6 - No Normalization,35,3,1,QC
Peak area - S15_ChickenLiver_5 - No Normalization,39,3,1,Subject
Peak area - S15_QCS_1 - No Normalization,36,3,1,QC
Peak area - S15_QCS_2 - No Normalization,37,3,1,QC
Peak area - S15_QCS_3 - No Normalization,38,3,1,QC
Peak area - S15_QCS_4 - No Normalization,40,3,1,QC
Peak area - S15_QCS_5 - No Normalization,41,3,1,QC
Peak area - S15_QCS_6 - No Normalization,42,3,1,QC
Peak area - S16_ChickenLiver_6 - No Normalization,46,3,1,Subject
Peak area - S16_QCS_1 - No Normalization,43,3,1,QC
Peak area - S16_QCS_2 - No Normalization,44,3,1,QC
Peak area - S16_QCS_3 - No Normalization,45,3,1,QC
Peak area - S16_QCS_4 - No Normalization,47,3,1,QC
Peak area - S16_QCS_5 - No Normalization,48,3,1,QC
Peak area - S16_QCS_6 - No Normalization,49,3,1,QC
Peak area - S17_GoatLiver_6 - No Normalization,53,3,1,Subject
Peak area - S17_QCS_1 - No Normalization,50,3,1,QC
Peak area - S17_QCS_2 - No Normalization,51,3,1,QC
Peak area - S17_QCS_3 - No Normalization,52,3,1,QC
Peak area - S17_QCS_4 - No Normalization,54,3,1,QC
Peak area - S17_QCS_5 - No Normalization,55,3,1,QC
Peak area - S17_QCS_6 - No Normalization,56,3,1,QC
Peak area - S18_ChickenHeart_6 - No Normalization,60,3,1,Subject
Peak area - S18_QCS_1 - No Normalization,57,3,1,QC
Peak area - S18_QCS_2 - No Normalization,58,3,1,QC
Peak area - S18_QCS_3 - No Normalization,59,3,1,QC
Peak area - S18_QCS_4 - No Normalization,61,3,1,QC
Peak area - S18_QCS_5 - No Normalization,62,3,1,QC
Peak area - S18_QCS_6 - No Normalization,63,3,1,QC
Peak area - S1_ChickenHeart_1 - No Normalization,67,1,1,Subject
Peak area - S1_QCS_1 - No Normalization,64,1,1,QC
Peak area - S1_QCS_2 - No Normalization,65,1,1,QC
Peak area - S1_QCS_3 - No Normalization,66,1,1,QC
Peak area - S1_QCS_4 - No Normalization,68,1,1,QC
Peak area - S1_QCS_5 - No Normalization,69,1,1,QC
Peak area - S1_QCS_6 - No Normalization,70,1,1,QC
Peak area - S2_ChickenHeart_2 - No Normalization,74,1,1,Subject
Peak area - S2_QCS_1 - No Normalization,71,1,1,QC
Peak area - S2_QCS_2 - No Normalization,72,1,1,QC
Peak area - S2_QCS_3 - No Normalization,73,1,1,QC
Peak area - S2_QCS_4 - No Normalization,75,1,1,QC
Peak area - S2_QCS_5 - No Normalization,76,1,1,QC
Peak area - S2_QCS_6 - No Normalization,77,1,1,QC
Peak area - S3_ChickenLiver_1 - No Normalization,81,1,1,Subject
Peak area - S3_QCS_1 - No Normalization,78,1,1,QC
Peak area - S3_QCS_2 - No Normalization,79,1,1,QC
Peak area - S3_QCS_3 - No Normalization,80,1,1,QC
Peak area - S3_QCS_4 - No Normalization,82,1,1,QC
Peak area - S3_QCS_5 - No Normalization,83,1,1,QC
Peak area - S3_QCS_6 - No Normalization,84,1,1,QC
Peak area - S4_GoatLiver_1 - No Normalization,88,1,1,Subject
Peak area - S4_QCS_1 - No Normalization,85,1,1,QC
Peak area - S4_QCS_2 - No Normalization,86,1,1,QC
Peak area - S4_QCS_3 - No Normalization,87,1,1,QC
Peak area - S4_QCS_4 - No Normalization,89,1,1,QC
Peak area - S4_QCS_5 - No Normalization,90,1,1,QC
Peak area - S4_QCS_6 - No Normalization,91,1,1,QC
Peak area - S5_ChickenLiver_2 - No Normalization,95,1,1,Subject
Peak area - S5_QCS_1 - No Normalization,92,1,1,QC
Peak area - S5_QCS_2 - No Normalization,93,1,1,QC
Peak area - S5_QCS_3 - No Normalization,94,1,1,QC
Peak area - S5_QCS_4 - No Normalization,96,1,1,QC
Peak area - S5_QCS_5 - No Normalization,97,1,1,QC
Peak area - S5_QCS_6 - No Normalization,98,1,1,QC
Peak area - S6_GoatLiver_2 - No Normalization,102,1,1,Subject
Peak area - S6_QCS_1 - No Normalization,99,1,1,QC
Peak area - S6_QCS_2 - No Normalization,100,1,1,QC
Peak area - S6_QCS_3 - No Normalization,101,1,1,QC
Peak area - S6_QCS_4 - No Normalization,103,1,1,QC
Peak area - S6_QCS_5 - No Normalization,104,1,1,QC
Peak area - S6_QCS_6 - No Normalization,105,1,1,QC
Peak area - S7_ChickenHeart_3 - No Normalization,109,2,1,Subject
Peak area - S7_QCS_1 - No Normalization,106,2,1,QC
Peak area - S7_QCS_2 - No Normalization,107,2,1,QC
Peak area - S7_QCS_3 - No Normalization,108,2,1,QC
Peak area - S7_QCS_4 - No Normalization,110,2,1,QC
Peak area - S7_QCS_5 - No Normalization,111,2,1,QC
Peak area - S7_QCS_6 - No Normalization,112,2,1,QC
Peak area - S8_GoatLiver_3 - No Normalization,116,2,1,Subject
Peak area - S8_QCS_1 - No Normalization,113,2,1,QC
Peak area - S8_QCS_2 - No Normalization,114,2,1,QC
Peak area - S8_QCS_3 - No Normalization,115,2,1,QC
Peak area - S8_QCS_4 - No Normalization,117,2,1,QC
Peak area - S8_QCS_5 - No Normalization,118,2,1,QC
Peak area - S8_QCS_6 - No Normalization,119,2,1,QC
Peak area - S9_ChickenHeart_4 - No Normalization,123,2,1,Subject
Peak area - S9_QCS_1 - No Normalization,120,2,1,QC
Peak area - S9_QCS_2 - No Normalization,121,2,1,QC
Peak area - S9_QCS_3 - No Normalization,122,2,1,QC
Peak area - S9_QCS_4 - No Normalization,124,2,1,QC
Peak area - S9_QCS_5 - No Normalization,125,2,1,QC
Peak area - S9_QCS_6 - No Normalization,126,2,1,QC
