sample.name,injection.order,batch,group,class
Peak area - S16_ChickenLiver_6 - No Normalization,106,3,1,Subject
Peak area - S16_QCS_1 - No Normalization,107,3,1,QC
Peak area - S16_QCS_2 - No Normalization,108,3,1,QC
Peak area - S16_QCS_3 - No Normalization,109,3,1,QC
Peak area - S16_QCS_4 - No Normalization,110,3,1,QC
Peak area - S16_QCS_5 - No Normalization,111,3,1,QC
Peak area - S16_QCS_6 - No Normalization,112,3,1,QC
Peak area - S17_GoatLiver_6 - No Normalization,113,3,1,Subject
Peak area - S17_QCS_1 - No Normalization,114,3,1,QC
Peak area - S17_QCS_2 - No Normalization,115,3,1,QC
Peak area - S17_QCS_3 - No Normalization,116,3,1,QC
Peak area - S17_QCS_4 - No Normalization,117,3,1,QC
Peak area - S17_QCS_5 - No Normalization,118,3,1,QC
Peak area - S17_QCS_6 - No Normalization,119,3,1,QC
Peak area - S18_ChickenHeart_6 - No Normalization,120,3,1,Subject
Peak area - S18_QCS_1 - No Normalization,121,3,1,QC
Peak area - S18_QCS_2 - No Normalization,122,3,1,QC
Peak area - S18_QCS_3 - No Normalization,123,3,1,QC
Peak area - S18_QCS_4 - No Normalization,124,3,1,QC
Peak area - S18_QCS_5 - No Normalization,125,3,1,QC
Peak area - S18_QCS_6 - No Normalization,126,3,1,QC
Peak area - S1_ChickenHeart_1 - No Normalization,1,1,1,Subject
Peak area - S1_QCS_1 - No Normalization,2,1,1,QC
Peak area - S1_QCS_2 - No Normalization,3,1,1,QC
Peak area - S1_QCS_3 - No Normalization,4,1,1,QC
Peak area - S1_QCS_4 - No Normalization,5,1,1,QC
Peak area - S1_QCS_5 - No Normalization,6,1,1,QC
Peak area - S1_QCS_6 - No Normalization,7,1,1,QC
Peak area - S2_ChickenHeart_2 - No Normalization,8,1,1,Subject
Peak area - S2_QCS_1 - No Normalization,9,1,1,QC
Peak area - S2_QCS_2 - No Normalization,10,1,1,QC
Peak area - S2_QCS_3 - No Normalization,11,1,1,QC
Peak area - S2_QCS_4 - No Normalization,12,1,1,QC
Peak area - S2_QCS_5 - No Normalization,13,1,1,QC
Peak area - S2_QCS_6 - No Normalization,14,1,1,QC
Peak area - S3_ChickenLiver_1 - No Normalization,15,1,1,Subject
Peak area - S3_QCS_1 - No Normalization,16,1,1,QC
Peak area - S3_QCS_2 - No Normalization,17,1,1,QC
Peak area - S3_QCS_3 - No Normalization,18,1,1,QC
Peak area - S3_QCS_4 - No Normalization,19,1,1,QC
Peak area - S3_QCS_5 - No Normalization,20,1,1,QC
Peak area - S3_QCS_6 - No Normalization,21,1,1,QC
Peak area - S4_GoatLiver_1 - No Normalization,22,1,1,Subject
Peak area - S4_QCS_1 - No Normalization,23,1,1,QC
Peak area - S4_QCS_2 - No Normalization,24,1,1,QC
Peak area - S4_QCS_3 - No Normalization,25,1,1,QC
Peak area - S4_QCS_4 - No Normalization,26,1,1,QC
Peak area - S4_QCS_5 - No Normalization,27,1,1,QC
Peak area - S4_QCS_6 - No Normalization,28,1,1,QC
Peak area - S5_ChickenLiver_2 - No Normalization,29,1,1,Subject
Peak area - S5_QCS_1 - No Normalization,30,1,1,QC
Peak area - S5_QCS_2 - No Normalization,31,1,1,QC
Peak area - S5_QCS_3 - No Normalization,32,1,1,QC
Peak area - S5_QCS_4 - No Normalization,33,1,1,QC
Peak area - S5_QCS_5 - No Normalization,34,1,1,QC
Peak area - S5_QCS_6 - No Normalization,35,1,1,QC
Peak area - S6_GoatLiver_2 - No Normalization,36,1,1,Subject
Peak area - S6_QCS_1 - No Normalization,37,1,1,QC
Peak area - S6_QCS_2 - No Normalization,38,1,1,QC
Peak area - S6_QCS_3 - No Normalization,39,1,1,QC
Peak area - S6_QCS_4 - No Normalization,40,1,1,QC
Peak area - S6_QCS_5 - No Normalization,41,1,1,QC
Peak area - S6_QCS_6 - No Normalization,42,1,1,QC
Peak area - S7_ChickenHeart_3 - No Normalization,43,2,1,Subject
Peak area - S7_QCS_1 - No Normalization,44,2,1,QC
Peak area - S7_QCS_2 - No Normalization,45,2,1,QC
Peak area - S7_QCS_3 - No Normalization,46,2,1,QC
Peak area - S7_QCS_4 - No Normalization,47,2,1,QC
Peak area - S7_QCS_5 - No Normalization,48,2,1,QC
Peak area - S7_QCS_6 - No Normalization,49,2,1,QC
Peak area - S8_GoatLiver_3 - No Normalization,50,2,1,Subject
Peak area - S8_QCS_1 - No Normalization,51,2,1,QC
Peak area - S8_QCS_2 - No Normalization,52,2,1,QC
Peak area - S8_QCS_3 - No Normalization,53,2,1,QC
Peak area - S8_QCS_4 - No Normalization,54,2,1,QC
Peak area - S8_QCS_5 - No Normalization,55,2,1,QC
Peak area - S8_QCS_6 - No Normalization,56,2,1,QC
Peak area - S9_ChickenHeart_4 - No Normalization,57,2,1,Subject
Peak area - S9_QCS_1 - No Normalization,58,2,1,QC
Peak area - S9_QCS_2 - No Normalization,59,2,1,QC
Peak area - S9_QCS_3 - No Normalization,60,2,1,QC
Peak area - S9_QCS_4 - No Normalization,61,2,1,QC
Peak area - S9_QCS_5 - No Normalization,62,2,1,QC
Peak area - S9_QCS_6 - No Normalization,63,2,1,QC
